Message,Category
wash my carpet,['Cleaning Service']
tidy up my house,['Cleaning Service']
spring cleaning,['Cleaning Service']
my bathroom is dirty,['Cleaning Service']
my house smells,['Cleaning Service']
I want someone to clean my house,['Cleaning Service']
I want someone to clean my house,['Cleaning Service']
My house has junk everywhere,['Cleaning Service']
I need my bathroom cleaned,['Cleaning Service']
I need my basement cleaned,['Cleaning Service']
I need to clean out my garage,['Cleaning Service']
I'm moving to ....,['Moving']
I need to move my stove,['Moving']
I need to move my bed,['Moving']
i need to move out,['Moving']
I need to move my grill,['Moving']
I need to move my kitchen appliances,['Moving']
I need to move my dinning room table,['Moving']
I need to move my living room,['Moving']
I need to move my washing machine,['Moving']
I need to move my drying machine,['Moving']
I need to move my refrigerator,['Moving']
I need to move my buffet,['Moving']
I need to move my TV,['Moving']
I need to move my couch,['Moving']
I need to move my desk,['Moving']
I need to move my kitchen table,['Moving']
I need to move my carpet,['Moving']
I need helping moving in,['Moving']
I need to move cabinets,['Moving']
I need to move,['Moving']
I need to move my,['Moving']
Handyman wanted,['Handyman']
I need the assistance of a handyman,['Handyman']
fix-up task,['Handyman']
I want something fixed,['Handyman']
Jobs for a handyman,['Handyman']
Need someone for repairing work,['Handyman']
Tile instalation,['Handyman']
Flooring,['Handyman']
Construction and repair,['Handyman']
I want to install my windows,['Handyman']
